LOCATION,SUBJECT,MEASURE,FREQUENCY,TIME,Value
AUT,TOT,AGRWTH,M,2017-11,2.26378
AUT,TOT,AGRWTH,M,2017-12,2.15475
AUT,TOT,AGRWTH,M,2018-01,1.768173
AUT,TOT,AGRWTH,M,2018-02,1.762977
AUT,TOT,AGRWTH,M,2018-03,1.851852
AUT,TOT,AGRWTH,M,2018-04,1.848249
AUT,TOT,AGRWTH,M,2018-05,1.943635
AUT,TOT,AGRWTH,M,2018-06,2.038835
AUT,TOT,AGRWTH,M,2018-07,2.142162
AUT,TOT,AGRWTH,M,2018-08,2.241715
AUT,TOT,AGRWTH,M,2018-09,2.027027
AUT,TOT,AGRWTH,M,2018-10,2.217936
AUT,TOT,AGRWTH,M,2018-11,2.213667
AUT,TOT,AGRWTH,M,2018-12,1.917546
AUT,TOT,AGRWTH,M,2019-01,1.833977
AUT,TOT,AGRWTH,M,2019-02,1.539942
AUT,TOT,AGRWTH,M,2019-03,1.818182
AUT,TOT,AGRWTH,M,2019-04,1.719198
AUT,TOT,AGRWTH,M,2019-05,1.71592
AUT,TOT,AGRWTH,M,2019-06,1.617507
AUT,TOT,AGRWTH,M,2019-07,1.429933
AUT,TOT,AGRWTH,M,2019-08,1.525262
AUT,TOT,AGRWTH,M,2019-09,1.229896
AUT,TOT,AGRWTH,M,2019-10,1.132075
AUT,TOT,AGRWTH,M,2019-11,1.129943
AUT,TOT,AGRWTH,M,2019-12,1.693321
AUT,TOT,AGRWTH,M,2020-01,1.990521
AUT,TOT,AGRWTH,M,2020-02,2.180095
AUT,TOT,AGRWTH,M,2020-03,1.597744
AUT,TOT,AGRWTH,M,2020-04,1.502347
AUT,TOT,AGRWTH,M,2020-05,0.656045
AUT,TOT,AGRWTH,M,2020-06,1.123595
AUT,TOT,AGRWTH,M,2020-07,1.691729
AUT,TOT,AGRWTH,M,2020-08,1.408451
AUT,TOT,AGRWTH,M,2020-09,1.401869
AUT,TOT,AGRWTH,M,2020-10,1.30597
AUT,TOT,AGRWTH,M,2020-11,1.303538
AUT,TOT,AGRWTH,M,2020-12,1.20259
BEL,TOT,AGRWTH,M,2017-11,2.069432
BEL,TOT,AGRWTH,M,2017-12,2.134441
BEL,TOT,AGRWTH,M,2018-01,1.706943
BEL,TOT,AGRWTH,M,2018-02,1.480845
BEL,TOT,AGRWTH,M,2018-03,1.391669
BEL,TOT,AGRWTH,M,2018-04,1.522505
BEL,TOT,AGRWTH,M,2018-05,1.819048
BEL,TOT,AGRWTH,M,2018-06,2.079359
BEL,TOT,AGRWTH,M,2018-07,2.168331
BEL,TOT,AGRWTH,M,2018-08,2.24292
BEL,TOT,AGRWTH,M,2018-09,2.349919
BEL,TOT,AGRWTH,M,2018-10,2.751162
BEL,TOT,AGRWTH,M,2018-11,2.775936
BEL,TOT,AGRWTH,M,2018-12,2.335697
BEL,TOT,AGRWTH,M,2019-01,1.98944
BEL,TOT,AGRWTH,M,2019-02,2.165317
BEL,TOT,AGRWTH,M,2019-03,2.331485
BEL,TOT,AGRWTH,M,2019-04,2.080795
BEL,TOT,AGRWTH,M,2019-05,1.88944
BEL,TOT,AGRWTH,M,2019-06,1.728649
BEL,TOT,AGRWTH,M,2019-07,1.424183
