LOCATION,TIME,Value
AUT,2017-11,2.26378
AUT,2017-12,2.15475
AUT,2018-01,1.768173
AUT,2018-02,1.762977
AUT,2018-03,1.851852
AUT,2018-04,1.848249
AUT,2018-05,1.943635
AUT,2018-06,2.038835
AUT,2018-07,2.142162
AUT,2018-08,2.241715
AUT,2018-09,2.027027
AUT,2018-10,2.217936
AUT,2018-11,2.213667
AUT,2018-12,1.917546
AUT,2019-01,1.833977
AUT,2019-02,1.539942
AUT,2019-03,1.818182
AUT,2019-04,1.719198
AUT,2019-05,1.71592
AUT,2019-06,1.617507
AUT,2019-07,1.429933
AUT,2019-08,1.525262
AUT,2019-09,1.229896
AUT,2019-10,1.132075
AUT,2019-11,1.129943
AUT,2019-12,1.693321
AUT,2020-01,1.990521
AUT,2020-02,2.180095
AUT,2020-03,1.597744
AUT,2020-04,1.502347
AUT,2020-05,0.656045
AUT,2020-06,1.123595
AUT,2020-07,1.691729
AUT,2020-08,1.408451
AUT,2020-09,1.401869
AUT,2020-10,1.30597
AUT,2020-11,1.303538
AUT,2020-12,1.20259
BEL,2017-11,2.069432
BEL,2017-12,2.134441
BEL,2018-01,1.706943
BEL,2018-02,1.480845
BEL,2018-03,1.391669
BEL,2018-04,1.522505
BEL,2018-05,1.819048
BEL,2018-06,2.079359
BEL,2018-07,2.168331
BEL,2018-08,2.24292
BEL,2018-09,2.349919
BEL,2018-10,2.751162
BEL,2018-11,2.775936
BEL,2018-12,2.335697
BEL,2019-01,1.98944
BEL,2019-02,2.165317
BEL,2019-03,2.331485
BEL,2019-04,2.080795
BEL,2019-05,1.88944
BEL,2019-06,1.728649
BEL,2019-07,1.424183
BEL,2019-08,1.264176
BEL,2019-09,0.7994051
BEL,2019-10,0.4801034
BEL,2019-11,0.3871681
BEL,2019-12,0.7577158
BEL,2020-01,1.405195
BEL,2020-02,1.096572
BEL,2020-03,0.6247129
BEL,2020-04,0.5692774
BEL,2020-05,0.4773708
BEL,2020-06,0.5970423
BEL,2020-07,0.7342144
BEL,2020-08,0.8169635
BEL,2020-09,0.9037256
BEL,2020-10,0.74428
BEL,2020-11,0.5142332
BEL,2020-12,0.4126926
BEL,2021-01,0.2552648
CAN,2017-11,2.099533
CAN,2017-12,1.869159
CAN,2018-01,1.698842
CAN,2018-02,2.158828
CAN,2018-03,2.309469
CAN,2018-04,2.223926
CAN,2018-05,2.222222
CAN,2018-06,2.453988
CAN,2018-07,2.990798
CAN,2018-08,2.835249
CAN,2018-09,2.217125
CAN,2018-10,2.444614
CAN,2018-11,1.675552
CAN,2018-12,1.987768
CAN,2019-01,1.442673
CAN,2019-02,1.509434
CAN,2019-03,1.881114
CAN,2019-04,2.025506
CAN,2019-05,2.398801
CAN,2019-06,2.020958
CAN,2019-07,2.010424
CAN,2019-08,1.937407
CAN,2019-09,1.869858
