LOCATION,TIME,Value
CAN,2018-12,100.9393
CAN,2019-01,104.6165
CAN,2019-02,110.2759
CAN,2019-03,112.4168
CAN,2019-04,114.9087
CAN,2019-05,113.8178
CAN,2019-06,113.8331
CAN,2019-07,115.1347
CAN,2019-08,113.2873
CAN,2019-09,116.2679
CAN,2019-10,114.3991
CAN,2019-11,118.0409
CAN,2019-12,118.7978
CAN,2020-01,121.1244
CAN,2020-02,122.4475
CAN,2020-03,95.94145
CAN,2020-04,98.16383
CAN,2020-05,103.8505
CAN,2020-06,107.9628
CAN,2020-07,111.0523
CAN,2020-08,115.52
CAN,2020-09,113.2146
CAN,2020-10,113.2708
CAN,2020-11,116.7689
CAN,2020-12,122.2525
CAN,2021-01,124.2181
CAN,2021-02,127.3483
FRA,2018-12,100.1675
FRA,2019-01,101.2198
FRA,2019-02,107.0714
FRA,2019-03,110.9524
FRA,2019-04,115.1051
FRA,2019-05,111.9079
FRA,2019-06,112.6742
FRA,2019-07,115.8961
FRA,2019-08,111.4429
FRA,2019-09,116.428
FRA,2019-10,116.7199
FRA,2019-11,122.0768
FRA,2019-12,122.7562
FRA,2020-01,124.3891
FRA,2020-02,123.3285
FRA,2020-03,93.03694
FRA,2020-04,91.88736
FRA,2020-05,93.7355
FRA,2020-06,102.9002
FRA,2020-07,103.7471
FRA,2020-08,103.4332
FRA,2020-09,102.9413
FRA,2020-10,101.2923
FRA,2020-11,111.1591
FRA,2020-12,115.7445
FRA,2021-01,116.961
FRA,2021-02,119.2072
DEU,2018-12,93.78859
DEU,2019-01,95.57957
DEU,2019-02,98.1282
DEU,2019-03,100.2103
DEU,2019-04,104.3918
DEU,2019-05,102.5912
DEU,2019-06,101.2147
DEU,2019-07,103.1985
DEU,2019-08,97.97976
DEU,2019-09,102.518
DEU,2019-10,104.2781
DEU,2019-11,109.7474
DEU,2019-12,110.4704
DEU,2020-01,112.0107
DEU,2020-02,111.1702
DEU,2020-03,83.88902
DEU,2020-04,86.97938
DEU,2020-05,92.12677
DEU,2020-06,101.4557
DEU,2020-07,104.3706
DEU,2020-08,105.5042
DEU,2020-09,105.9361
DEU,2020-10,103.7749
DEU,2020-11,105.5023
DEU,2020-12,110.64
DEU,2021-01,114.4572
DEU,2021-02,116.173
ITA,2018-12,90.77139
ITA,2019-01,93.83179
ITA,2019-02,97.8409
ITA,2019-03,102.1769
ITA,2019-04,105.7595
ITA,2019-05,101.3312
ITA,2019-06,101.33
ITA,2019-07,106.2179
ITA,2019-08,101.0348
ITA,2019-09,105.882
ITA,2019-10,106.6886
ITA,2019-11,112.6481
ITA,2019-12,113.1492
ITA,2020-01,114.6452
ITA,2020-02,115.8871
ITA,2020-03,85.258
ITA,2020-04,84.48536
ITA,2020-05,85.81441
ITA,2020-06,94.64108
ITA,2020-07,96.65475
ITA,2020-08,96.39849
ITA,2020-09,94.87207
ITA,2020-10,93.26896
ITA,2020-11,101.1906
ITA,2020-12,106.2241
ITA,2021-01,107.783
ITA,2021-02,111.1628
JPN,2018-12,100.4797
JPN,2019-01,98.93965
JPN,2019-02,102.4915
JPN,2019-03,103.3572
JPN,2019-04,104.3061
JPN,2019-05,100.5274
JPN,2019-06,99.27679
JPN,2019-07,101.4176
JPN,2019-08,96.7705
JPN,2019-09,102.0022
JPN,2019-10,104.2139
JPN,2019-11,109.3213
JPN,2019-12,111.161
JPN,2020-01,110.8787
JPN,2020-02,107.8232
JPN,2020-03,89.017
JPN,2020-04,91.1507
JPN,2020-05,95.40068
JPN,2020-06,102.2208
JPN,2020-07,100.6782
JPN,2020-08,102.6739
JPN,2020-09,105.3336
JPN,2020-10,105.0107
JPN,2020-11,110.2328
JPN,2020-12,114.8566
JPN,2021-01,118.6747
JPN,2021-02,123.3508
GBR,2018-12,102.8222
GBR,2019-01,103.9577
GBR,2019-02,108.3783
GBR,2019-03,109.2462
GBR,2019-04,112.7637
GBR,2019-05,110.3894
GBR,2019-06,111.5929
GBR,2019-07,114.4728
GBR,2019-08,109.1551
GBR,2019-09,110.9959
GBR,2019-10,109.4995
GBR,2019-11,111.4263
GBR,2019-12,112.5802
GBR,2020-01,114.5953
GBR,2020-02,110.8974
GBR,2020-03,87.06705
GBR,2020-04,87.03309
GBR,2020-05,90.33038
GBR,2020-06,94.69035
GBR,2020-07,93.51866
GBR,2020-08,92.02005
GBR,2020-09,89.9651
GBR,2020-10,88.72897
GBR,2020-11,94.35523
GBR,2020-12,98.82664
GBR,2021-01,101.4009
GBR,2021-02,99.82986
USA,2018-12,108.7552
USA,2019-01,111.1662
USA,2019-02,117.2234
USA,2019-03,118.283
USA,2019-04,121.0378
USA,2019-05,118.6425
USA,2019-06,120.1735
USA,2019-07,123.43
USA,2019-08,118.284
USA,2019-09,121.7589
USA,2019-10,121.3509
USA,2019-11,125.887
USA,2019-12,128.5203
USA,2020-01,130.9052
USA,2020-02,128.6936
USA,2020-03,100.458
USA,2020-04,101.8041
USA,2020-05,105.6555
USA,2020-06,113.1662
USA,2020-07,115.0943
USA,2020-08,120.638
USA,2020-09,119.7456
USA,2020-10,121.4711
USA,2020-11,128.248
USA,2020-12,134.5941
USA,2021-01,138.8357
USA,2021-02,142.3429
IND,2018-12,131.0445
IND,2019-01,131.7876
IND,2019-02,132.0995
IND,2019-03,137.4276
IND,2019-04,142.2029
IND,2019-05,141.0776
IND,2019-06,144.6276
IND,2019-07,141.2805
IND,2019-08,135.8939
IND,2019-09,137.1351
IND,2019-10,141.4126
IND,2019-11,148.0616
IND,2019-12,150.1374
IND,2020-01,151.1901
IND,2020-02,148.9424
IND,2020-03,118.4641
IND,2020-04,112.1694
IND,2020-05,114.7061
IND,2020-06,125.244
IND,2020-07,135.3612
IND,2020-08,140.1715
IND,2020-09,140.2899
IND,2020-10,146.4015
IND,2020-11,157.3873
IND,2020-12,169.043
IND,2021-01,177.5392
IND,2021-02,185.6307
